"name","age","fare","sex","survived","embarked","passenger.class"
"Berriman, Mr. William John",23,13,"male","no","Southhampton",2
"Botsford, Mr. William Hull",26,13,"male","no","Southhampton",2
"Bowenur, Mr. Solomon",42,13,"male","no","Southhampton",2
"Bracken, Mr. James H",27,13,"male","no","Southhampton",2
"Brown, Miss. Amelia ""Mildred""",24,13,"female","yes","Southhampton",2
"Brown, Miss. Edith Eileen",15,39,"female","yes","Southhampton",2
"Brown, Mr. Thomas William Solomon",60,39,"male","no","Southhampton",2
"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",40,39,"female","yes","Southhampton",2
"Bryhl, Miss. Dagmar Jenny Ingeborg ",20,26,"female","yes","Southhampton",2
"Bryhl, Mr. Kurt Arnold Gottfrid",25,26,"male","no","Southhampton",2
"Buss, Miss. Kate",36,13,"female","yes","Southhampton",2
"Butler, Mr. Reginald Fenton",25,13,"male","no","Southhampton",2
"Byles, Rev. Thomas Roussel Davids",42,13,"male","no","Southhampton",2
"Bystrom, Mrs. (Karolina)",42,13,"female","yes","Southhampton",2
"Caldwell, Master. Alden Gates",0.8333,29,"male","yes","Southhampton",2
"Caldwell, Mr. Albert Francis",26,29,"male","yes","Southhampton",2
"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",22,29,"female","yes","Southhampton",2
"Cameron, Miss. Clear Annie",35,21,"female","yes","Southhampton",2
"Campbell, Mr. William",NA,0,"male","no","Southhampton",2
"Carbines, Mr. William",19,13,"male","no","Southhampton",2
"Carter, Mrs. Ernest Courtenay (Lilian Hughes)",44,26,"female","no","Southhampton",2
"Carter, Rev. Ernest Courtenay",54,26,"male","no","Southhampton",2
"Chapman, Mr. Charles Henry",52,13.5,"male","no","Southhampton",2
"Chapman, Mr. John Henry",37,26,"male","no","Southhampton",2
"Chapman, Mrs. John Henry (Sara Elizabeth Lawry)",29,26,"female","no","Southhampton",2
"Christy, Miss. Julie Rachel",25,30,"female","yes","Southhampton",2
"Christy, Mrs. (Alice Frances)",45,30,"female","yes","Southhampton",2
"Clarke, Mr. Charles Valentine",29,26,"male","no","Southhampton",2
"Clarke, Mrs. Charles V (Ada Maria Winfield)",28,26,"female","yes","Southhampton",2
"Coleridge, Mr. Reginald Charles",29,10.5,"male","no","Southhampton",2
"Collander, Mr. Erik Gustaf",28,13,"male","no","Southhampton",2
"Collett, Mr. Sidney C Stuart",24,10.5,"male","yes","Southhampton",2
"Collyer, Miss. Marjorie ""Lottie""",8,26.25,"female","yes","Southhampton",2
"Collyer, Mr. Harvey",31,26.25,"male","no","Southhampton",2
"Collyer, Mrs. Harvey (Charlotte Annie Tate)",31,26.25,"female","yes","Southhampton",2
"Cook, Mrs. (Selena Rogers)",22,10.5,"female","yes","Southhampton",2
"Corbett, Mrs. Walter H (Irene Colvin)",30,13,"female","no","Southhampton",2
"Corey, Mrs. Percy C (Mary Phyllis Elizabeth Miller)",NA,21,"female","no","Southhampton",2
"Cotterill, Mr. Henry ""Harry""",21,11.5,"male","no","Southhampton",2
"Cunningham, Mr. Alfred Fleming",NA,0,"male","no","Southhampton",2
"Davies, Master. John Morgan Jr",8,36.75,"male","yes","Southhampton",2
"Davies, Mr. Charles Henry",18,73.5,"male","no","Southhampton",2
"Davies, Mrs. John Morgan (Elizabeth Agnes Mary White) ",48,36.75,"female","yes","Southhampton",2
"Davis, Miss. Mary",28,13,"female","yes","Southhampton",2
"de Brito, Mr. Jose Joaquim",32,13,"male","no","Southhampton",2
"Deacon, Mr. Percy William",17,73.5,"male","no","Southhampton",2
"del Carlo, Mr. Sebastiano",29,27.7208,"male","no","Cherbourg",2
"del Carlo, Mrs. Sebastiano (Argenia Genovesi)",24,27.7208,"female","yes","Cherbourg",2
"Denbury, Mr. Herbert",25,31.5,"male","no","Southhampton",2
"Dibden, Mr. William",18,73.5,"male","no","Southhampton",2
"Doling, Miss. Elsie",18,23,"female","yes","Southhampton",2
"Doling, Mrs. John T (Ada Julia Bone)",34,23,"female","yes","Southhampton",2
"Downton, Mr. William James",54,26,"male","no","Southhampton",2
"Drew, Master. Marshall Brines",8,32.5,"male","yes","Southhampton",2
"Drew, Mr. James Vivian",42,32.5,"male","no","Southhampton",2
"Drew, Mrs. James Vivian (Lulu Thorne Christian)",34,32.5,"female","yes","Southhampton",2
"Duran y More, Miss. Asuncion",27,13.8583,"female","yes","Cherbourg",2
"Duran y More, Miss. Florentina",30,13.8583,"female","yes","Cherbourg",2
"Eitemiller, Mr. George Floyd",23,13,"male","no","Southhampton",2
"Enander, Mr. Ingvar",21,13,"male","no","Southhampton",2
"Fahlstrom, Mr. Arne Jonas",18,13,"male","no","Southhampton",2
"Faunthorpe, Mr. Harry",40,26,"male","no","Southhampton",2
"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",29,26,"female","yes","Southhampton",2
"Fillbrook, Mr. Joseph Charles",18,10.5,"male","no","Southhampton",2
"Fox, Mr. Stanley Hubert",36,13,"male","no","Southhampton",2
"Frost, Mr. Anthony Wood ""Archie""",NA,0,"male","no","Southhampton",2
"Funk, Miss. Annie Clemmer",38,13,"female","no","Southhampton",2
"Fynney, Mr. Joseph J",35,26,"male","no","Southhampton",2
"Gale, Mr. Harry",38,21,"male","no","Southhampton",2
"Gale, Mr. Shadrach",34,21,"male","no","Southhampton",2
"Garside, Miss. Ethel",34,13,"female","yes","Southhampton",2
"Gaskell, Mr. Alfred",16,26,"male","no","Southhampton",2
"Gavey, Mr. Lawrence",26,10.5,"male","no","Southhampton",2
"Gilbert, Mr. William",47,10.5,"male","no","Southhampton",2
"Giles, Mr. Edgar",21,11.5,"male","no","Southhampton",2
"Giles, Mr. Frederick Edward",21,11.5,"male","no","Southhampton",2
"Giles, Mr. Ralph",24,13.5,"male","no","Southhampton",2
"Gill, Mr. John William",24,13,"male","no","Southhampton",2
"Gillespie, Mr. William Henry",34,13,"male","no","Southhampton",2
"Givard, Mr. Hans Kristensen",30,13,"male","no","Southhampton",2
"Greenberg, Mr. Samuel",52,13,"male","no","Southhampton",2
"Hale, Mr. Reginald",30,13,"male","no","Southhampton",2
"Hamalainen, Master. Viljo",0.6667,14.5,"male","yes","Southhampton",2
"Hamalainen, Mrs. William (Anna)",24,14.5,"female","yes","Southhampton",2
"Harbeck, Mr. William H",44,13,"male","no","Southhampton",2
"Harper, Miss. Annie Jessie ""Nina""",6,33,"female","yes","Southhampton",2
"Harper, Rev. John",28,33,"male","no","Southhampton",2
"Harris, Mr. George",62,10.5,"male","yes","Southhampton",2
"Harris, Mr. Walter",30,10.5,"male","no","Southhampton",2
"Hart, Miss. Eva Miriam",7,26.25,"female","yes","Southhampton",2
"Hart, Mr. Benjamin",43,26.25,"male","no","Southhampton",2
"Hart, Mrs. Benjamin (Esther Ada Bloomfield)",45,26.25,"female","yes","Southhampton",2
"Herman, Miss. Alice",24,65,"female","yes","Southhampton",2
"Herman, Miss. Kate",24,65,"female","yes","Southhampton",2
"Herman, Mr. Samuel",49,65,"male","no","Southhampton",2
"Herman, Mrs. Samuel (Jane Laver)",48,65,"female","yes","Southhampton",2
"Hewlett, Mrs. (Mary D Kingcome) ",55,16,"female","yes","Southhampton",2
"Hickman, Mr. Leonard Mark",24,73.5,"male","no","Southhampton",2
"Hickman, Mr. Lewis",32,73.5,"male","no","Southhampton",2
"Hickman, Mr. Stanley George",21,73.5,"male","no","Southhampton",2
"Hiltunen, Miss. Marta",18,13,"female","no","Southhampton",2
"Hocking, Miss. Ellen ""Nellie""",20,23,"female","yes","Southhampton",2
"Hocking, Mr. Richard George",23,11.5,"male","no","Southhampton",2
"Hocking, Mr. Samuel James Metcalfe",36,13,"male","no","Southhampton",2
"Hocking, Mrs. Elizabeth (Eliza Needs)",54,23,"female","yes","Southhampton",2
"Hodges, Mr. Henry Price",50,13,"male","no","Southhampton",2
"Hold, Mr. Stephen",44,26,"male","no","Southhampton",2
"Hold, Mrs. Stephen (Annie Margaret Hill)",29,26,"female","yes","Southhampton",2
"Hood, Mr. Ambrose Jr",21,73.5,"male","no","Southhampton",2
"Hosono, Mr. Masabumi",42,13,"male","yes","Southhampton",2
"Howard, Mr. Benjamin",63,26,"male","no","Southhampton",2
"Howard, Mrs. Benjamin (Ellen Truelove Arman)",60,26,"female","no","Southhampton",2
"Hunt, Mr. George Henry",33,12.275,"male","no","Southhampton",2
"Ilett, Miss. Bertha",17,10.5,"female","yes","Southhampton",2
"Jacobsohn, Mr. Sidney Samuel",42,27,"male","no","Southhampton",2
"Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy)",24,27,"female","yes","Southhampton",2
"Jarvis, Mr. John Denzil",47,15,"male","no","Southhampton",2
"Jefferys, Mr. Clifford Thomas",24,31.5,"male","no","Southhampton",2
"Jefferys, Mr. Ernest Wilfred",22,31.5,"male","no","Southhampton",2
"Jenkin, Mr. Stephen Curnow",32,10.5,"male","no","Southhampton",2
"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)",23,13.7917,"female","yes","Cherbourg",2
"Kantor, Mr. Sinai",34,26,"male","no","Southhampton",2
"Kantor, Mrs. Sinai (Miriam Sternin)",24,26,"female","yes","Southhampton",2
"Karnes, Mrs. J Frank (Claire Bennett)",22,21,"female","no","Southhampton",2
"Keane, Miss. Nora A",NA,12.35,"female","yes","Queenstown",2
"Keane, Mr. Daniel",35,12.35,"male","no","Queenstown",2
"Kelly, Mrs. Florence ""Fannie""",45,13.5,"female","yes","Southhampton",2
"Kirkland, Rev. Charles Leonard",57,12.35,"male","no","Queenstown",2
"Knight, Mr. Robert J",NA,0,"male","no","Southhampton",2
"Kvillner, Mr. Johan Henrik Johannesson",31,10.5,"male","no","Southhampton",2
"Lahtinen, Mrs. William (Anna Sylfven)",26,26,"female","no","Southhampton",2
"Lahtinen, Rev. William",30,26,"male","no","Southhampton",2
"Lamb, Mr. John Joseph",NA,10.7083,"male","no","Queenstown",2
"Laroche, Miss. Louise",1,41.5792,"female","yes","Cherbourg",2
"Laroche, Miss. Simonne Marie Anne Andree",3,41.5792,"female","yes","Cherbourg",2
"Laroche, Mr. Joseph Philippe Lemercier",25,41.5792,"male","no","Cherbourg",2
"Laroche, Mrs. Joseph (Juliette Marie Louise Lafargue)",22,41.5792,"female","yes","Cherbourg",2
"Lehmann, Miss. Bertha",17,12,"female","yes","Cherbourg",2
"Leitch, Miss. Jessie Wills",NA,33,"female","yes","Southhampton",2
"Lemore, Mrs. (Amelia Milley)",34,10.5,"female","yes","Southhampton",2
"Levy, Mr. Rene Jacques",36,12.875,"male","no","Cherbourg",2
"Leyson, Mr. Robert William Norman",24,10.5,"male","no","Southhampton",2
"Lingane, Mr. John",61,12.35,"male","no","Queenstown",2
"Louch, Mr. Charles Alexander",50,26,"male","no","Southhampton",2
"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)",42,26,"female","yes","Southhampton",2
"Mack, Mrs. (Mary)",57,10.5,"female","no","Southhampton",2
"Malachard, Mr. Noel",NA,15.0458,"male","no","Cherbourg",2
"Mallet, Master. Andre",1,37.0042,"male","yes","Cherbourg",2
"Mallet, Mr. Albert",31,37.0042,"male","no","Cherbourg",2
"Mallet, Mrs. Albert (Antoinette Magnin)",24,37.0042,"female","yes","Cherbourg",2
"Mangiavacchi, Mr. Serafino Emilio",NA,15.5792,"male","no","Cherbourg",2
"Matthews, Mr. William John",30,13,"male","no","Southhampton",2
"Maybery, Mr. Frank Hubert",40,16,"male","no","Southhampton",2
"McCrae, Mr. Arthur Gordon",32,13.5,"male","no","Southhampton",2
"McCrie, Mr. James Matthew",30,13,"male","no","Southhampton",2
"McKane, Mr. Peter David",46,26,"male","no","Southhampton",2
"Mellinger, Miss. Madeleine Violet",13,19.5,"female","yes","Southhampton",2
"Mellinger, Mrs. (Elizabeth Anne Maidment)",41,19.5,"female","yes","Southhampton",2
"Mellors, Mr. William John",19,10.5,"male","yes","Southhampton",2
"Meyer, Mr. August",39,13,"male","no","Southhampton",2
"Milling, Mr. Jacob Christian",48,13,"male","no","Southhampton",2
"Mitchell, Mr. Henry Michael",70,10.5,"male","no","Southhampton",2
"Montvila, Rev. Juozas",27,13,"male","no","Southhampton",2
"Moraweck, Dr. Ernest",54,14,"male","no","Southhampton",2
"Morley, Mr. Henry Samuel (""Mr Henry Marshall"")",39,26,"male","no","Southhampton",2
"Mudd, Mr. Thomas Charles",16,10.5,"male","no","Southhampton",2
"Myles, Mr. Thomas Francis",62,9.6875,"male","no","Queenstown",2
"Nasser, Mr. Nicholas",32.5,30.0708,"male","no","Cherbourg",2
"Nasser, Mrs. Nicholas (Adele Achem)",14,30.0708,"female","yes","Cherbourg",2
"Navratil, Master. Edmond Roger",2,26,"male","yes","Southhampton",2
"Navratil, Master. Michel M",3,26,"male","yes","Southhampton",2
"Navratil, Mr. Michel (""Louis M Hoffman"")",36.5,26,"male","no","Southhampton",2
"Nesson, Mr. Israel",26,13,"male","no","Southhampton",2
"Nicholls, Mr. Joseph Charles",19,36.75,"male","no","Southhampton",2
"Norman, Mr. Robert Douglas",28,13.5,"male","no","Southhampton",2
"Nourney, Mr. Alfred (""Baron von Drachstedt"")",20,13.8625,"male","yes","Cherbourg",2
"Nye, Mrs. (Elizabeth Ramell)",29,10.5,"female","yes","Southhampton",2
"Otter, Mr. Richard",39,13,"male","no","Southhampton",2
"Oxenham, Mr. Percy Thomas",22,10.5,"male","yes","Southhampton",2
"Padro y Manent, Mr. Julian",NA,13.8625,"male","yes","Cherbourg",2
"Pain, Dr. Alfred",23,10.5,"male","no","Southhampton",2
"Pallas y Castello, Mr. Emilio",29,13.8583,"male","yes","Cherbourg",2
"Parker, Mr. Clifford Richard",28,10.5,"male","no","Southhampton",2
"Parkes, Mr. Francis ""Frank""",NA,0,"male","no","Southhampton",2
"Parrish, Mrs. (Lutie Davis)",50,26,"female","yes","Southhampton",2
"Pengelly, Mr. Frederick William",19,10.5,"male","no","Southhampton",2
"Pernot, Mr. Rene",NA,15.05,"male","no","Cherbourg",2
"Peruschitz, Rev. Joseph Maria",41,13,"male","no","Southhampton",2
"Phillips, Miss. Alice Frances Louisa",21,21,"female","yes","Southhampton",2
"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")",19,26,"female","yes","Southhampton",2
"Phillips, Mr. Escott Robert",43,21,"male","no","Southhampton",2
"Pinsky, Mrs. (Rosa)",32,13,"female","yes","Southhampton",2
"Ponesell, Mr. Martin",34,13,"male","no","Southhampton",2
"Portaluppi, Mr. Emilio Ilario Giuseppe",30,12.7375,"male","yes","Cherbourg",2
"Pulbaum, Mr. Franz",27,15.0333,"male","no","Cherbourg",2
"Quick, Miss. Phyllis May",2,26,"female","yes","Southhampton",2
"Quick, Miss. Winifred Vera",8,26,"female","yes","Southhampton",2
"Quick, Mrs. Frederick Charles (Jane Richards)",33,26,"female","yes","Southhampton",2
"Reeves, Mr. David",36,10.5,"male","no","Southhampton",2
"Renouf, Mr. Peter Henry",34,21,"male","no","Southhampton",2
"Renouf, Mrs. Peter Henry (Lillian Jefferys)",30,21,"female","yes","Southhampton",2
"Reynaldo, Ms. Encarnacion",28,13,"female","yes","Southhampton",2
"Richard, Mr. Emile",23,15.0458,"male","no","Cherbourg",2
"Richards, Master. George Sibley",0.8333,18.75,"male","yes","Southhampton",2
"Richards, Master. William Rowe",3,18.75,"male","yes","Southhampton",2
"Richards, Mrs. Sidney (Emily Hocking)",24,18.75,"female","yes","Southhampton",2
"Ridsdale, Miss. Lucy",50,10.5,"female","yes","Southhampton",2
"Rogers, Mr. Reginald Harry",19,10.5,"male","no","Southhampton",2
"Rugg, Miss. Emily",21,10.5,"female","yes","Southhampton",2
"Schmidt, Mr. August",26,13,"male","no","Southhampton",2
"Sedgwick, Mr. Charles Frederick Waddington",25,13,"male","no","Southhampton",2
"Sharp, Mr. Percival James R",27,26,"male","no","Southhampton",2
"Shelley, Mrs. William (Imanita Parrish Hall)",25,26,"female","yes","Southhampton",2
"Silven, Miss. Lyyli Karoliina",18,13,"female","yes","Southhampton",2
"Sincock, Miss. Maude",20,36.75,"female","yes","Southhampton",2
"Sinkkonen, Miss. Anna",30,13,"female","yes","Southhampton",2
"Sjostedt, Mr. Ernst Adolf",59,13.5,"male","no","Southhampton",2
"Slayter, Miss. Hilda Mary",30,12.35,"female","yes","Queenstown",2
"Slemen, Mr. Richard James",35,10.5,"male","no","Southhampton",2
"Smith, Miss. Marion Elsie",40,13,"female","yes","Southhampton",2
"Sobey, Mr. Samuel James Hayden",25,13,"male","no","Southhampton",2
"Stanton, Mr. Samuel Ward",41,15.0458,"male","no","Cherbourg",2
"Stokes, Mr. Philip Joseph",25,10.5,"male","no","Southhampton",2
"Swane, Mr. George",18.5,13,"male","no","Southhampton",2
"Sweet, Mr. George Frederick",14,65,"male","no","Southhampton",2
"Toomey, Miss. Ellen",50,10.5,"female","yes","Southhampton",2
"Troupiansky, Mr. Moses Aaron",23,13,"male","no","Southhampton",2
"Trout, Mrs. William H (Jessie L)",28,12.65,"female","yes","Southhampton",2
"Troutt, Miss. Edwina Celia ""Winnie""",27,10.5,"female","yes","Southhampton",2
"Turpin, Mr. William John Robert",29,21,"male","no","Southhampton",2
"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",27,21,"female","no","Southhampton",2
"Veal, Mr. James",40,13,"male","no","Southhampton",2
"Walcroft, Miss. Nellie",31,21,"female","yes","Southhampton",2
"Ware, Mr. John James",30,21,"male","no","Southhampton",2
"Ware, Mr. William Jeffery",23,10.5,"male","no","Southhampton",2
"Ware, Mrs. John James (Florence Louise Long)",31,21,"female","yes","Southhampton",2
"Watson, Mr. Ennis Hastings",NA,0,"male","no","Southhampton",2
"Watt, Miss. Bertha J",12,15.75,"female","yes","Southhampton",2
"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",40,15.75,"female","yes","Southhampton",2
"Webber, Miss. Susan",32.5,13,"female","yes","Southhampton",2
"Weisz, Mr. Leopold",27,26,"male","no","Southhampton",2
"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",29,26,"female","yes","Southhampton",2
"Wells, Master. Ralph Lester",2,23,"male","yes","Southhampton",2
"Wells, Miss. Joan",4,23,"female","yes","Southhampton",2
"Wells, Mrs. Arthur Henry (""Addie"" Dart Trevaskis)",29,23,"female","yes","Southhampton",2
"West, Miss. Barbara J",0.9167,27.75,"female","yes","Southhampton",2
"West, Miss. Constance Mirium",5,27.75,"female","yes","Southhampton",2
"West, Mr. Edwy Arthur",36,27.75,"male","no","Southhampton",2
"West, Mrs. Edwy Arthur (Ada Mary Worth)",33,27.75,"female","yes","Southhampton",2
"Wheadon, Mr. Edward H",66,10.5,"male","no","Southhampton",2
"Wheeler, Mr. Edwin ""Frederick""",NA,12.875,"male","no","Southhampton",2
"Wilhelms, Mr. Charles",31,13,"male","yes","Southhampton",2
"Williams, Mr. Charles Eugene",NA,13,"male","yes","Southhampton",2
"Wright, Miss. Marion",26,13.5,"female","yes","Southhampton",2
"Yrois, Miss. Henriette (""Mrs Harbeck"")",24,13,"female","no","Southhampton",2
"Abbing, Mr. Anthony",42,7.55,"male","no","Southhampton",3
"Abbott, Master. Eugene Joseph",13,20.25,"male","no","Southhampton",3
"Abbott, Mr. Rossmore Edward",16,20.25,"male","no","Southhampton",3
"Abbott, Mrs. Stanton (Rosa Hunt)",35,20.25,"female","yes","Southhampton",3
"Abelseth, Miss. Karen Marie",16,7.65,"female","yes","Southhampton",3
"Abelseth, Mr. Olaus Jorgensen",25,7.65,"male","yes","Southhampton",3
"Abrahamsson, Mr. Abraham August Johannes",20,7.925,"male","yes","Southhampton",3
"Abrahim, Mrs. Joseph (Sophie Halaut Easu)",18,7.2292,"female","yes","Cherbourg",3
"Adahl, Mr. Mauritz Nils Martin",30,7.25,"male","no","Southhampton",3
"Adams, Mr. John",26,8.05,"male","no","Southhampton",3
"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",40,9.475,"female","no","Southhampton",3
"Aks, Master. Philip Frank",0.8333,9.35,"male","yes","Southhampton",3
"Aks, Mrs. Sam (Leah Rosen)",18,9.35,"female","yes","Southhampton",3
"Albimona, Mr. Nassef Cassem",26,18.7875,"male","yes","Cherbourg",3
"Alexander, Mr. William",26,7.8875,"male","no","Southhampton",3
"Alhomaki, Mr. Ilmari Rudolf",20,7.925,"male","no","Southhampton",3
"Ali, Mr. Ahmed",24,7.05,"male","no","Southhampton",3
"Ali, Mr. William",25,7.05,"male","no","Southhampton",3
"Allen, Mr. William Henry",35,8.05,"male","no","Southhampton",3
"Allum, Mr. Owen George",18,8.3,"male","no","Southhampton",3
"Andersen, Mr. Albert Karvin",32,22.525,"male","no","Southhampton",3
"Andersen-Jensen, Miss. Carla Christine Nielsine",19,7.8542,"female","yes","Southhampton",3
"Andersson, Master. Sigvard Harald Elias",4,31.275,"male","no","Southhampton",3
"Andersson, Miss. Ebba Iris Alfrida",6,31.275,"female","no","Southhampton",3
"Andersson, Miss. Ellis Anna Maria",2,31.275,"female","no","Southhampton",3
"Andersson, Miss. Erna Alexandra",17,7.925,"female","yes","Southhampton",3
"Andersson, Miss. Ida Augusta Margareta",38,7.775,"female","no","Southhampton",3
"Andersson, Miss. Ingeborg Constanzia",9,31.275,"female","no","Southhampton",3
"Andersson, Miss. Sigrid Elisabeth",11,31.275,"female","no","Southhampton",3
"Andersson, Mr. Anders Johan",39,31.275,"male","no","Southhampton",3
"Andersson, Mr. August Edvard (""Wennerstrom"")",27,7.7958,"male","yes","Southhampton",3
"Andersson, Mr. Johan Samuel",26,7.775,"male","no","Southhampton",3
"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",39,31.275,"female","no","Southhampton",3
"Andreasson, Mr. Paul Edvin",20,7.8542,"male","no","Southhampton",3
"Angheloff, Mr. Minko",26,7.8958,"male","no","Southhampton",3
"Arnold-Franchi, Mr. Josef",25,17.8,"male","no","Southhampton",3
"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",18,17.8,"female","no","Southhampton",3
"Aronsson, Mr. Ernst Axel Algot",24,7.775,"male","no","Southhampton",3
"Asim, Mr. Adola",35,7.05,"male","no","Southhampton",3
"Asplund, Master. Carl Edgar",5,31.3875,"male","no","Southhampton",3
"Asplund, Master. Clarence Gustaf Hugo",9,31.3875,"male","no","Southhampton",3
"Asplund, Master. Edvin Rojj Felix",3,31.3875,"male","yes","Southhampton",3
"Asplund, Master. Filip Oscar",13,31.3875,"male","no","Southhampton",3
"Asplund, Miss. Lillian Gertrud",5,31.3875,"female","yes","Southhampton",3
"Asplund, Mr. Carl Oscar Vilhelm Gustafsson",40,31.3875,"male","no","Southhampton",3
"Asplund, Mr. Johan Charles",23,7.7958,"male","yes","Southhampton",3
"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",38,31.3875,"female","yes","Southhampton",3
"Assaf Khalil, Mrs. Mariana (""Miriam"")",45,7.225,"female","yes","Cherbourg",3
"Assaf, Mr. Gerios",21,7.225,"male","no","Cherbourg",3
"Assam, Mr. Ali",23,7.05,"male","no","Southhampton",3
"Attalah, Miss. Malake",17,14.4583,"female","no","Cherbourg",3
"Attalah, Mr. Sleiman",30,7.225,"male","no","Cherbourg",3
"Augustsson, Mr. Albert",23,7.8542,"male","no","Southhampton",3
"Ayoub, Miss. Banoura",13,7.2292,"female","yes","Cherbourg",3
"Baccos, Mr. Raffull",20,7.225,"male","no","Cherbourg",3
"Backstrom, Mr. Karl Alfred",32,15.85,"male","no","Southhampton",3
"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",33,15.85,"female","yes","Southhampton",3
"Baclini, Miss. Eugenie",0.75,19.2583,"female","yes","Cherbourg",3
"Baclini, Miss. Helene Barbara",0.75,19.2583,"female","yes","Cherbourg",3
"Baclini, Miss. Marie Catherine",5,19.2583,"female","yes","Cherbourg",3
"Baclini, Mrs. Solomon (Latifa Qurban)",24,19.2583,"female","yes","Cherbourg",3
"Badman, Miss. Emily Louisa",18,8.05,"female","yes","Southhampton",3
"Badt, Mr. Mohamed",40,7.225,"male","no","Cherbourg",3
"Balkic, Mr. Cerin",26,7.8958,"male","no","Southhampton",3
"Barah, Mr. Hanna Assi",20,7.2292,"male","yes","Cherbourg",3
"Barbara, Miss. Saiide",18,14.4542,"female","no","Cherbourg",3
"Barbara, Mrs. (Catherine David)",45,14.4542,"female","no","Cherbourg",3
"Barry, Miss. Julia",27,7.8792,"female","no","Queenstown",3
"Barton, Mr. David John",22,8.05,"male","no","Southhampton",3
"Beavan, Mr. William Thomas",19,8.05,"male","no","Southhampton",3
"Bengtsson, Mr. John Viktor",26,7.775,"male","no","Southhampton",3
"Berglund, Mr. Karl Ivar Sven",22,9.35,"male","no","Southhampton",3
"Betros, Master. Seman",NA,7.2292,"male","no","Cherbourg",3
"Betros, Mr. Tannous",20,4.0125,"male","no","Cherbourg",3
"Bing, Mr. Lee",32,56.4958,"male","yes","Southhampton",3
"Birkeland, Mr. Hans Martin Monsen",21,7.775,"male","no","Southhampton",3
"Bjorklund, Mr. Ernst Herbert",18,7.75,"male","no","Southhampton",3
"Bostandyeff, Mr. Guentcho",26,7.8958,"male","no","Southhampton",3
"Boulos, Master. Akar",6,15.2458,"male","no","Cherbourg",3
"Boulos, Miss. Nourelain",9,15.2458,"female","no","Cherbourg",3
"Boulos, Mr. Hanna",NA,7.225,"male","no","Cherbourg",3
"Boulos, Mrs. Joseph (Sultana)",NA,15.2458,"female","no","Cherbourg",3
"Bourke, Miss. Mary",NA,7.75,"female","no","Queenstown",3
"Bourke, Mr. John",40,15.5,"male","no","Queenstown",3
"Bourke, Mrs. John (Catherine)",32,15.5,"female","no","Queenstown",3
"Bowen, Mr. David John ""Dai""",21,16.1,"male","no","Southhampton",3
"Bradley, Miss. Bridget Delia",22,7.725,"female","yes","Queenstown",3
"Braf, Miss. Elin Ester Maria",20,7.8542,"female","no","Southhampton",3
"Braund, Mr. Lewis Richard",29,7.0458,"male","no","Southhampton",3
"Braund, Mr. Owen Harris",22,7.25,"male","no","Southhampton",3
"Brobeck, Mr. Karl Rudolf",22,7.7958,"male","no","Southhampton",3
"Brocklebank, Mr. William Alfred",35,8.05,"male","no","Southhampton",3
"Buckley, Miss. Katherine",18.5,7.2833,"female","no","Queenstown",3
"Buckley, Mr. Daniel",21,7.8208,"male","yes","Queenstown",3
"Burke, Mr. Jeremiah",19,6.75,"male","no","Queenstown",3
"Burns, Miss. Mary Delia",18,7.8792,"female","no","Queenstown",3
"Cacic, Miss. Manda",21,8.6625,"female","no","Southhampton",3
"Cacic, Miss. Marija",30,8.6625,"female","no","Southhampton",3
"Cacic, Mr. Jego Grga",18,8.6625,"male","no","Southhampton",3
"Cacic, Mr. Luka",38,8.6625,"male","no","Southhampton",3
"Calic, Mr. Jovo",17,8.6625,"male","no","Southhampton",3
"Calic, Mr. Petar",17,8.6625,"male","no","Southhampton",3
"Canavan, Miss. Mary",21,7.75,"female","no","Queenstown",3
"Canavan, Mr. Patrick",21,7.75,"male","no","Queenstown",3
"Cann, Mr. Ernest Charles",21,8.05,"male","no","Southhampton",3
"Caram, Mr. Joseph",NA,14.4583,"male","no","Cherbourg",3
"Caram, Mrs. Joseph (Maria Elias)",NA,14.4583,"female","no","Cherbourg",3
"Carlsson, Mr. August Sigfrid",28,7.7958,"male","no","Southhampton",3
"Carlsson, Mr. Carl Robert",24,7.8542,"male","no","Southhampton",3
"Carr, Miss. Helen ""Ellen""",16,7.75,"female","yes","Queenstown",3
"Carr, Miss. Jeannie",37,7.75,"female","no","Queenstown",3
"Carver, Mr. Alfred John",28,7.25,"male","no","Southhampton",3
"Celotti, Mr. Francesco",24,8.05,"male","no","Southhampton",3
"Charters, Mr. David",21,7.7333,"male","no","Queenstown",3
